family,name,target,feasibility,confidence,horizon,direction,tushare,institutional_relevance
momentum_reversal,Industry/Sector Momentum,capital_sentiment,GREEN,high,1-2个月（月频行业轮动，A股日频和月频存在动量，周频则反转）,高值看多（所属行业近期涨势强的个股相对较强）,"ci_daily, index_daily, index_classify, index_member_all",高——机构基金行业ETF化和主题基金轮动正是行业动量的主要驱动力
momentum_reversal,Northbound Capital Holding Change Momentum,capital_sentiment,GREEN,med,2-4周（与系统核心窗口完全吻合）,高值（净增持）看多,"hk_hold, moneyflow_hsgt, daily_basic",极高——北向即外资机构，其动向是机构为主市场最直接的资金流代理指标
momentum_reversal,Margin Financing Balance Momentum,capital_sentiment,GREEN,med,1-4周（短期），月度高融资比率转为看空（过热警示）,5日融资净增量高值看多（短期）；月累积融资余额/市值极高值看空（长期拥挤）,"margin_detail, margin, daily_basic",中——融资客中同时包括机构和高净值散户，信号噪音较北向大
momentum_reversal,Chip Cost Distribution Momentum (CYQ-based),capital_sentiment,GREEN,high,1-4周，周频版信号更强（年化多空52.3%）,高值（平均获利）偏动量，低值（平均亏损）偏反转——需配合阈值切分,"cyq_perf, daily, daily_basic",高——筹码成本分布充分反映机构建仓/减仓成本区间，且cyq_perf由tushare标准端点支持
momentum_reversal,Turnover-Rate-Adjusted Momentum,capital_sentiment,GREEN,med,1-3个月,高值看多（低换手率下的正动量最持续）,"daily_basic, daily",中高——机构持有股通常换手率低，低换手动量恰好与机构行为正相关
momentum_reversal,Block Trade Discount/Premium Signal,capital_sentiment,GREEN,med,2-6周（事件驱动，买方建仓完成后涨升）,折价后看多（机构接货），溢价后看空（大股东锁利）,"block_trade, daily",高——大宗交易天然是机构行为的直接记录
momentum_reversal,Hot Money (LHB) Flow Momentum,capital_sentiment,GREEN,med,3-15个交易日（短线，题材发酵窗口）,净买入高值短期看多（发酵期）；极度拥挤后看空（题材末期）,"hm_detail, hm_list, daily_basic",中——游资是中国特色信号，在机构为主市场仍存在，可用作情绪先行指标
momentum_reversal,Dynamic Momentum Crash Signal (Daniel-Moskowitz),risk_discount,GREEN,med,风险控制模块（择时overlay），不改变预测方向，仅调节仓位,熊市恐慌期减少动量暴露，牛市/稳健期正常使用,"index_daily, daily",高——机构在恐慌期集中赎回引发的踩踏是A股动量崩溃的主因，风控必须嵌入
momentum_reversal,Earnings Surprise Momentum (SUE / PEAD),expectation_gap,YELLOW,med,2-8周（A股PEAD窗口约20-40个交易日）,SUE高值看多（盈利超预期后向上漂移）,"express, forecast, report_rc, income",高——机构基本面研究更新滞后（analyst herding）是PEAD在机构市场持续的核心原因
momentum_reversal,Analyst Revision Momentum,expectation_gap,YELLOW,med,1-2个月（分析师报告覆盖周期）,高值（上调幅度大）看多,report_rc,极高——卖方分析师报告直接面向机构客户，上调浪潮是机构行为的直接先行指标
momentum_reversal,Volume-Weighted Return Divergence (Price-Volume Divergence),capital_sentiment,GREEN,med,1-3周,VPMD高值看多（VWAP上移确认动量）,"daily, stk_factor_pro",中高——机构分批建仓以VWAP为基准，量价背离是机构行为的微观结构信号
momentum_reversal,Shareholder Count Decrease Momentum,capital_sentiment,GREEN,med,1-3个月（季度信号，月频使用时需插值或重复使用最新季度值）,高值（人数大幅减少）看多,"stk_holdernumber, daily_basic",高——直接度量机构筹码集中程度，是A股独有的有效代理指标
momentum_reversal,Short-Term Reversal Post-Limit-Up/Down,capital_sentiment,GREEN,high,3-10个交易日（事件驱动）,连续跌停开板→看多；连续涨停开板→看空,"stk_limit, limit_list_d, daily, limit_step",低——涨跌停主要由散户驱动，机构通常回避连板股；但连续跌停开板的超跌反转有机构价值
momentum_reversal,Intraday-to-Close Return Persistence (Overnight + Intraday Split),capital_sentiment,GREEN,med,2-4周,ONR_MOM高值看多（机构持续隔夜增值），IDR_MOM极高值看空（散户情绪过热）,daily,高——隔夜收益对应机构行为，分离后可过滤大量散户噪音，适合机构为主市场
growth_expectation,SUE_Q,expectation_gap,GREEN,high,事件后 20-60 个交易日；与本系统 2-4 周窗口高度吻合。季频信号，持有 1-3 月。,高 SUE_Q → 看多（正惊喜持续漂移）；低 SUE_Q → 看空（负惊喜持续下跌）,"fina_indicator, report_rc, daily_basic",机构为主市场中 PEAD 仍显著——研究表明机构投资者反而能从零售投资者低估反应中获利(SSRN 4589824 A 股
growth_expectation,FY1_EPS_REV_MOM,expectation_gap,GREEN,high,20-60 个交易日；对本系统 2-4 周窗口有效。调仓频率可双周至月频。,高正修正 → 看多；大幅下调 → 看空,report_rc,直接反映机构卖方研究员的预期变化，是机构资金流入的领先指标；华泰综合因子（含修正）在沪深 300 增强组合中 IR=2.
growth_expectation,ANALYST_RATING_REV,expectation_gap,GREEN,med,事件驱动型，评级发布后 10-30 交易日有效；本系统 2-4 周窗口内显著。,评级上调/高值 → 看多；评级下调/低值 → 看空,report_rc,评级变化直接触发机构持仓调整，华泰综合三因子（含评级）在增强组合中 IR 全面提升。
growth_expectation,TARGET_PRICE_UPSIDE,valuation_rerating,GREEN,med,中期信号（1-3 月）；目标价通常设 12M 期限，但短期价格向目标价靠拢的漂移发生在 2-8 周。,高隐含上涨空间（正值大）→ 看多；隐含下行（负值）→ 看空,"report_rc, daily, index_member_all",目标价驱动机构委托单；外资机构（北向）对头部覆盖分析师目标价高度敏感。
growth_expectation,EPS_DISPERSION,risk_discount,GREEN,med,中期信号（1-3 月）；适合作为风险折扣叠加在 expectation_gap 上。,高分歧度 → 风险折扣（看空方向叠加使用）；分歧度突破高位后下行 → 看多,report_rc,机构一致买入的前提是预期收敛；北向资金更倾向持有低分歧度股票（信息透明度高）。
growth_expectation,FORECAST_SURPRISE,expectation_gap,YELLOW,high,事件驱动，预告发布后 20-60 个交易日；配合 PEAD 漂移使用。预告密集期为每年 1 月、4 月、7-8 月、10 月。,正超预期（高值）→ 看多；负超预期（低值/预告低于预期）→ 看空,"forecast, report_rc, fina_indicator",预告超预期是机构紧急调研的触发信号；北向资金在超预期预告后 5 日内增持频率显著高于基准。
growth_expectation,EXPRESS_SURPRISE,expectation_gap,GREEN,high,事件后 10-40 个交易日；快报集中披露期 1-3 月/7-8 月（上年年报/中报）。,正超预期 → 看多；快报低于预期 → 看空（较预告更强信号）,"express, report_rc, index_member_all",快报是机构分析师更新财务模型的触发点；头部公司快报超预期后北向资金 5 日净买入显著正向。
growth_expectation,REVENUE_ACC,fundamental_score,GREEN,med,季频信号；加速度信号在 2-4 个季度内持续有效，适合本系统 2-4 周至 1 季度视窗。,正加速（ΔYoY > 0）→ 看多；减速（ΔYoY < 0）→ 看空,"income, fina_indicator",营收加速是机构景气投资框架的核心指标；行业景气度向上时北向资金配置倾向于营收加速标的。
growth_expectation,NET_PROFIT_ACC,fundamental_score,GREEN,med,季频，1-2 个季度有效；配合预期修正因子（FY1_EPS_REV_MOM）使用有协同增强效果。,正加速 → 看多；持续减速 → 看空（尤其结合负 SUE_Q）,"fina_indicator, income",净利润加速是大多数机构投研体系中景气评分的核心维度；与分析师 EPS 修正高度相关（互相验证）。
growth_expectation,PEAD_DRIFT_SCORE,expectation_gap,YELLOW,med,事件后 20-60 交易日；季度调仓（与财报周期同步）。,高分 → 看多；低分（负 SUE + 无后续研报关注）→ 看空,"fina_indicator, report_rc, daily",机构投资者是 PEAD 的主要受益者；研究表明 A 股机构能从散户低估反应中获利。
growth_expectation,ANALYST_COVERAGE_CHG,expectation_gap,GREEN,med,覆盖增加后 20-60 交易日有效；共同覆盖因子为月频调仓信号。,覆盖增加/首次覆盖 → 看多；覆盖消失（分析师停止跟踪）→ 看空,report_rc,分析师覆盖变化直接反映机构卖方资源配置方向；新覆盖是机构客户入场的「首发号角」。
growth_expectation,FY1_FY2_REVISION_SPREAD,expectation_gap,YELLOW,med,2-6 周，月频调仓；属于短期预期确定性信号。,FY1 修正显著 > FY2 修正（正 SPREAD）→ 看多；FY2 修正 > FY1 → 长期故事未兑现 → 中性或看空,report_rc,FY1 vs FY2 分析是机构 roadshow 路演核心话题；外资机构对近期业绩确定性更敏感。
growth_expectation,CONSENSUS_UPGRADE_RATIO,expectation_gap,GREEN,med,月频信号，有效周期 20-60 日；与 FY1_EPS_REV_MOM 高度相关（互相验证，注意因子重复）。,高净上调占比（接近 +1）→ 看多；持续净下调（接近 -1）→ 看空,report_rc,上调占比是机构基本面 roadshow 路演结果的直接反映；北向资金对净上调股票配置偏向明显。
growth_expectation,GUIDANCE_BEAT,expectation_gap,YELLOW,med,年度/半年度信号；配合季度 SUE_Q 使用，提升胜率。有效期 1-4 个季度。,正 GUIDANCE_BEAT（实际超指引）→ 看多；负值（不及指引）→ 强烈看空信号,"forecast, fina_indicator, express",管理层指引是机构投研最重要的 channel check 维度；机构反向投资（做多系统性保守指引公司）是 A 股常见策略
growth_expectation,COMPOSITE_EXPECTATION_SCORE,expectation_gap,YELLOW,high,月频至季频调仓；合成因子比单一因子更平滑，适合 2-8 周持仓。,高合成分 → 看多；低合成分 → 看空,"fina_indicator, report_rc, forecast, express, daily_basic, index_member_all",综合预期因子是机构 Alpha 量化组合的核心配置，与 AI 量价因子相关性极低（0.03），提供真正的增量 Alpha
institutional_flow,北向持股变化率 (HK_Hold_Chg),capital_sentiment,YELLOW,med,季度(63TD)为主；日频NF_Ratio可捕捉2-4周趋势；注意2024年8月19日起停止日度披露，改为季度公布，日频因子须切换为moneyflow_hsgt替代。,高值(外资增持)→看多,"hk_hold, moneyflow_hsgt, daily_basic",极高——外资机构代表价值定价者，增持是机构认可信号
institutional_flow,融资买入动量因子 (Margin_Buy_Momentum),capital_sentiment,GREEN,high,10-21TD动量信号；60-90TD反转风险,中短期高值→看多；极端高值(行业前5%)→反转风险看空,"margin, margin_detail, daily, daily_basic",中——主要捕捉杠杆散户行为，但极端值也反映机构止损/追涨
institutional_flow,融券余额变化率 (Short_Interest_Chg),risk_discount,GREEN,med,21-63TD；空头压力具有中期持续性,高值(融券增加)→看空,"margin, margin_detail, slb_len, daily_basic",高——融券主体几乎全为机构或大资金
institutional_flow,主力净流入率 CNIR (Composite Net Inflow Rate),capital_sentiment,GREEN,med,5-10TD短期信号最强；21TD动量有意义,高值(净流入)→看多,"moneyflow, moneyflow_dc",高——大单流入实际代表机构/游资/主力行为
institutional_flow,东财/同花顺个股资金流净流入强度 (MF_THS_NetIn),capital_sentiment,GREEN,med,3-10TD；情绪动量信号，不宜持有过长,高值(净流入)→短期看多,"moneyflow_ths, moneyflow_dc, daily_basic",中——混合散户与机构信号
institutional_flow,游资净买入强度 (HM_Net_Buy),capital_sentiment,GREEN,med,5-10TD超短期（游资做多后散户跟风期）；机构卖出信号21-63TD有效,游资净买入高值→短期看多；机构席位净卖出→看空/风险信号,"hm_detail, hm_list",高——机构席位卖出是机构行为的直接观察
institutional_flow,大宗交易成交额占比因子 (Block_Trade_Ratio),capital_sentiment,GREEN,med,21-63TD；大宗交易信息传递有滞后效应,高成交额占比+低波动率→看多；高折价率+高成交量波动率→看空,"block_trade, daily",极高——大宗交易几乎只有机构/大股东参与
institutional_flow,大宗折溢价率信号 (Block_Trade_Discount),capital_sentiment,GREEN,med,10-21TD事件后效应,溢价高值→看多；深度折价→看空（过桥信号需过滤）,"block_trade, daily",高——识别机构大资金真实方向性意图
institutional_flow,筹码获利盘比例 (Winner_Rate_Factor),capital_sentiment,GREEN,med,5-21TD反转信号；与动量因子反向配合,超高获利盘(>75%)→反转看空；极低获利盘(<25%)→反弹看多,cyq_perf,中——散户持仓成本效应，机构持仓也受成本影响
institutional_flow,筹码集中度因子 (Chip_Concentration),capital_sentiment,GREEN,med,10-63TD中期建仓完成信号,低分散度(高集中)→看多；高分散度→中性或略看空,"cyq_perf, cyq_chips",中——筹码集中主要反映主力/游资控盘程度
institutional_flow,股东人数变化率 (Shareholder_Count_Chg),capital_sentiment,GREEN,med,63-126TD（季报/半年报披露周期，数据频率低）,股东人数减少(高户均持股增加)→看多,"stk_holdernumber, daily_basic",中高——间接反映机构/主力的筹码集散程度
institutional_flow,大股东增减持强度 (Insider_Trade_Signal),capital_sentiment,GREEN,med,63-126TD；内部人增持效应持续时间较长,净增持高值→看多；大额减持→看空,stk_holdertrade,高——内部人是信息最丰富的市场参与者
institutional_flow,股权质押风险因子 (Pledge_Risk_Score),risk_discount,GREEN,med,长期风险信号（持续高质押→风险积累）；触发平仓线时短期负面冲击明显,高质押比例且接近平仓线→看空/风险折价,"pledge_stat, pledge_detail, daily",高——机构做投前尽调必查项；质押风险会引发机构回避
institutional_flow,解禁压力因子 (Unlock_Overhang),risk_discount,GREEN,med,前瞻21-63TD预警；解禁后30-60TD持续承压,高解禁压力→看空/负向,"share_float, daily_basic",高——私募PE/VC解禁是机构投资退出的标准路径
institutional_flow,行业资金流轮动因子 (Sector_Moneyflow_Rotation),capital_sentiment,YELLOW,med,10-21TD行业资金动量有效；63TD以上存在均值回归,所在行业主力资金净流入强→个股看多,"moneyflow_ind_ths, index_member_all, dc_daily",高——主动型机构配置行为的行业维度直接体现
institutional_flow,AH溢价套利压力 (AH_Premium_Arbitrage),valuation_rerating,GREEN,med,63-126TD均值回归信号,AH溢价极高→A股看空；AH折价→A股看多（稀少）,stk_ah_comparison,极高——跨境机构套利的核心工具
institutional_flow,北向资金流速动量 (HSGT_Flow_Momentum),capital_sentiment,GREEN,med,10-21TD市场择时信号；个股层面(hk_hold季频)63-126TD,北向净流入加速→整体看多；流出加速→防御,moneyflow_hsgt,极高——外资机构资金流入是A股机构化进程的核心驱动
liquidity_micro,Amihud ILLIQ 月均非流动性,risk_discount,GREEN,high,月度重算（20交易日），预测窗口 2-4 周；持有期过长（>3个月）出现均值回归。,高 ILLIQ → 该股流动性差 → 短期 risk_discount 偏高（低流动性溢价隐含在价格中），中性化后因子值高→看空/折价。,"daily, daily_basic",高——机构资金首要考量交易成本与冲击，高 ILLIQ 股机构回避→折价持续；北向资金偏好高流动性大市值，造成 ILLIQ
liquidity_micro,超额换手率（DTURN）,capital_sentiment,GREEN,high,月度换手率差分预测下1个月；日频 Z-score 版预测 2-4 周效果最佳。,高超额换手率 → 短期散户投机旺盛 → 反转，看空；低换手率且持续 → 筹码锁定，看多。,daily_basic,中——机构偏好低换手高流动性个股，高换手通常为散户行为，机构看到高换手会降低参与；北向资金流入时即使高换手也不一定反转。
liquidity_micro,换手率波动率（成交稳定性因子）,capital_sentiment,GREEN,high,20日换手率稳定性预测 2-4 周超额收益。,高 TO_CV → 成交不稳定 → 机构回避 → 看空；低 TO_CV（稳定型成交）→ 机构锁仓 → 看多。,daily_basic,高——直接刻画机构持续建仓 vs 散户博弈，与北向资金持仓稳定性高度相关。
liquidity_micro,量比（Volume Ratio）,capital_sentiment,GREEN,med,日频，预测 3-10 个交易日内价格方向确认；不适合超过4周持有。,量比放大+价涨 → 看多；量比放大+价跌 → 看空；量比持续萎缩 → 流动性枯竭 → 看空或等待。,daily_basic,中——机构算法单将大笔交易分拆，单日量比不完全反映机构行为，需配合连续多日量比趋势。
liquidity_micro,Corwin-Schultz 高低价买卖价差估计量,risk_discount,GREEN,med,月度均值，预测 2-4 周风险折价水平。,高 CS_spread → 交易摩擦大 → 机构交易成本高 → 折价，看空（用于 risk_discount）。,daily,高——机构交易成本直接取决于买卖价差，CS价差是机构执行成本的一阶近似；与 ILLIQ 互补（ILLIQ 测深度，CS测
liquidity_micro,Roll 隐含价差,risk_discount,GREEN,med,月度均值，预测 2-4 周流动性状态。,高 S_Roll → 价差大 → 流动性差 → risk_discount 偏高。,daily,中——理论合理但A股适配性弱于CS；作为风险折价的辅助印证。
liquidity_micro,零收益天数比例（Lesmond 流动性）,risk_discount,GREEN,med,月度，预测 4-8 周流动性状态（低频信号）。,高 ZEROS → 流动性差，交易摩擦大 → risk_discount 偏高。,daily,中——对机构投资组合中的小盘持仓风险预警有用；大盘股几乎无零收益天，因子在机构常用宇宙内信号弱。
liquidity_micro,筹码获利比例（CYQ 胜率）,capital_sentiment,GREEN,med,日频，预测 2-3 周方向；与价格动量结合使用。,低获利盘比例（大套牢） → 抛压小 → 看多（机会）；高获利盘 → 获利了结压力 → 看空（或动量衰竭）。,cyq_perf,中——机构使用筹码概念作为辅助参考，但不是核心量化指标；对游资/主力判断更相关；北向资金不在筹码统计口径内。
liquidity_micro,筹码集中度（CYQ 峰值集中度）,capital_sentiment,GREEN,med,周度/月度信号，预测 3-6 周趋势延续。,高集中度（CHIP_CONC高）→ 筹码锁定，方向明确 → 配合动量看多；低集中度（分散）→ 分歧大 → 看空或不确定。,cyq_perf,中——机构内部有更精确的持仓成本数据，该指标更多反映散户/游资锁仓状态；但筹码集中后的机构建仓期是重要的跟踪信号。
liquidity_micro,股东人数变化率（筹码集中信号）,capital_sentiment,GREEN,high,季度更新（约每60个交易日），预测 1-3 个月趋势；与北向资金持股变化联合使用。,股东人数减少（负变化率）→ 筹码集中，机构建仓 → 看多；股东人数增加（正变化率）→ 筹码分散，散户涌入 → 看空/泡沫信号。,stk_holdernumber,高——直接追踪机构 vs 散户的持仓转移；与北向资金增持(hk_hold)联合使用可识别'外资+公募双向进场'信号，20
liquidity_micro,解禁压力因子,risk_discount,GREEN,high,20日/60日解禁窗口，预测 1-3 个月潜在压力；临近解禁日前 2 周效果最强。,高解禁压力比率 → 供给冲击 → 看空 / 增加 risk_discount。,"share_float, daily_basic",高——解禁压力是机构风险控制的重要参数，叠加大宗交易(block_trade)可识别'提前出货'行为；外资(hk_hol
